x_id	y_id	prob	x_name	y_name
892	65	0.987	alan gratz	adam grant
892	65	0.987	alan gratz	adam grant
465	67	0.9685	amy jones	adam johnson
845	67	0.9311	kirk johnson	adam johnson
465	67	0.9685	amy jones	adam johnson
761	69	0.7814	adam ruben	adam m. grant
892	69	0.7814	alan gratz	adam m. grant
892	69	0.7814	alan gratz	adam m. grant
713	72	0.9999	adam lamparello	adam markel
761	72	0.9456	adam ruben	adam markel
761	73	1.0	adam ruben	adam rubin
761	73	1.0	adam ruben	adam rubin
909	78	0.9201	catherine todd	adapted by catherine
342	84	0.9983	henry	adapted by henry gil
877	93	0.9638	katherine applegate	adapted by katherine
129	93	0.9201	katherine reay	adapted by katherine
877	93	0.9638	katherine applegate	adapted by katherine
158	113	0.8169	adele faber	adele ashworth
158	114	0.9456	adele faber	adele lang
634	115	0.987	alice pung	adele puhn
634	115	0.987	alice pung	adele puhn
472	116	0.9809	madeline sheehan	adeline yen mah
809	117	0.9714	adrian owen	adrian gostick
13	118	0.9858	faith hunter	adriana hunter
77	118	0.9858	faith hunter	adriana hunter
452	118	0.9928	georgia hunter	adriana hunter
809	118	0.8169	adrian owen	adriana hunter
13	119	0.9858	faith hunter	adriana hunter
77	119	0.9858	faith hunter	adriana hunter
452	119	0.9928	georgia hunter	adriana hunter
809	119	0.8169	adrian owen	adriana hunter
13	120	0.9858	faith hunter	adriana hunter
77	120	0.9858	faith hunter	adriana hunter
452	120	0.9928	georgia hunter	adriana hunter
809	120	0.8169	adrian owen	adriana hunter
809	121	0.9996	adrian owen	adriana locke
385	123	0.8246	cheryl ann smith	aerosmith
